Month	robberies
1/1/1966	41
2/1/1966	39
3/1/1966	50
4/1/1966	40
5/1/1966	43
6/1/1966	38
7/1/1966	44
8/1/1966	35
9/1/1966	39
10/1/1966	35
11/1/1966	29
12/1/1966	49
1/1/1967	50
2/1/1967	59
3/1/1967	63
4/1/1967	32
5/1/1967	39
6/1/1967	47
7/1/1967	53
8/1/1967	60
9/1/1967	57
10/1/1967	52
11/1/1967	70
12/1/1967	90
1/1/1968	74
2/1/1968	62
3/1/1968	55
4/1/1968	84
5/1/1968	94
6/1/1968	70
7/1/1968	108
8/1/1968	139
9/1/1968	120
10/1/1968	97
11/1/1968	126
12/1/1968	149
1/1/1969	158
2/1/1969	124
3/1/1969	140
4/1/1969	109
5/1/1969	114
6/1/1969	77
7/1/1969	120
8/1/1969	133
9/1/1969	110
10/1/1969	92
11/1/1969	97
12/1/1969	78
1/1/1970	99
2/1/1970	107
3/1/1970	112
4/1/1970	90
5/1/1970	98
6/1/1970	125
7/1/1970	155
8/1/1970	190
9/1/1970	236
10/1/1970	189
11/1/1970	174
12/1/1970	178
1/1/1971	136
2/1/1971	161
3/1/1971	171
4/1/1971	149
5/1/1971	184
6/1/1971	155
7/1/1971	276
8/1/1971	224
9/1/1971	213
10/1/1971	279
11/1/1971	268
12/1/1971	287
1/1/1972	238
2/1/1972	213
3/1/1972	257
4/1/1972	293
5/1/1972	212
6/1/1972	246
7/1/1972	353
8/1/1972	339
9/1/1972	308
10/1/1972	247
11/1/1972	257
12/1/1972	322
1/1/1973	298
2/1/1973	273
3/1/1973	312
4/1/1973	249
5/1/1973	286
6/1/1973	279
7/1/1973	309
8/1/1973	401
9/1/1973	309
10/1/1973	328
11/1/1973	353
12/1/1973	354
1/1/1974	327
2/1/1974	324
3/1/1974	285
4/1/1974	243
5/1/1974	241
6/1/1974	287
7/1/1974	355
8/1/1974	460
9/1/1974	364
10/1/1974	487
11/1/1974	452
12/1/1974	391
1/1/1975	500
2/1/1975	451
3/1/1975	375
4/1/1975	372
5/1/1975	302
6/1/1975	316
7/1/1975	398
8/1/1975	394
9/1/1975	431
10/1/1975	431
