day,day_of_week,poms_tot,poms_tot_w,poms_tot_g,poms_tot_h,poms_tot_m,inters_tot,inters_tot_p,inters_tot_m,inters_tot_s,inters_tot_o
20160101,Friday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160102,Saturday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160103,Sunday,8,0,8,0,0,NA,NA,NA,NA,NA
20160104,Monday,3,1,2,0,0,NA,NA,NA,NA,NA
20160105,Tuesday,12,8,2,2,0,5,4,1,0,0
20160106,Wednesday,9,8,0,1,0,6,4,2,0,0
20160107,Thursday,12,8,3,1,0,2,1,1,0,0
20160108,Friday,5,3,1,1,0,3,2,1,0,0
20160109,Saturday,5,0,1,1,3,NA,NA,NA,NA,NA
20160110,Sunday,9,0,5,2,2,NA,NA,NA,NA,NA
20160111,Monday,11,8,3,0,0,2,1,0,0,1
20160112,Tuesday,12,8,3,1,0,5,5,0,0,0
20160113,Wednesday,9,6,2,1,0,6,3,1,1,1
20160114,Thursday,11,7,3,1,0,8,4,3,0,1
20160115,Friday,12,12,0,0,0,14,10,3,1,0
20160116,Saturday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160117,Sunday,3,0,0,0,3,NA,NA,NA,NA,NA
20160118,Monday,16,10,5,1,0,7,4,0,3,0
20160119,Tuesday,12,8,3,1,0,2,2,0,0,0
20160120,Wednesday,11,9,2,0,0,7,1,4,2,0
20160121,Thursday,11,5,5,1,0,5,3,0,2,0
20160122,Friday,13,9,3,1,0,10,4,4,2,0
20160123,Saturday,7,0,1,6,0,NA,NA,NA,NA,NA
20160124,Sunday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160125,Monday,16,6,9,1,0,2,0,1,1,0
20160126,Tuesday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160127,Wednesday,12,3,7,2,0,3,1,1,1,0
20160128,Thursday,5,2,3,0,0,1,1,0,0,0
20160129,Friday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160130,Saturday,9,0,6,3,0,NA,NA,NA,NA,NA
20160131,Sunday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160201,Monday,8,2,6,0,0,9,6,1,1,1
20160202,Tuesday,8,1,7,0,0,4,2,0,1,1
20160203,Wednesday,8,7,1,0,0,9,6,3,0,0
20160204,Thursday,9,1,8,0,0,6,3,1,1,1
20160205,Friday,13,0,10,2,1,4,3,1,0,0
20160206,Saturday,12,0,10,2,0,2,0,0,1,1
20160207,Sunday,4,0,4,0,0,0,0,0,0,0
20160208,Monday,10,8,2,0,0,3,1,1,0,1
20160209,Tuesday,13,9,4,0,0,2,2,0,0,0
20160210,Wednesday,12,5,7,0,0,9,4,0,3,2
20160211,Thursday,12,1,9,2,0,5,1,1,2,1
20160212,Friday,3,0,3,0,0,NA,NA,NA,NA,NA
20160213,Saturday,4,0,2,2,0,NA,NA,NA,NA,NA
20160214,Sunday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160215,Monday,11,4,6,1,0,3,3,0,0,0
20160216,Tuesday,11,3,7,1,0,4,1,0,2,1
20160217,Wednesday,13,6,7,0,0,6,3,1,1,1
20160218,Thursday,10,5,5,0,0,NA,NA,NA,NA,NA
20160219,Friday,16,2,11,3,0,NA,NA,NA,NA,NA
20160220,Saturday,7,1,5,1,0,1,0,0,1,0
20160221,Sunday,11,0,9,1,1,0,0,0,0,0
20160222,Monday,15,0,14,1,0,1,1,0,0,0
20160223,Tuesday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160224,Wednesday,9,9,0,0,0,4,2,1,0,1
20160225,Thursday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160226,Friday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160227,Saturday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160228,Sunday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160229,Monday,10,8,1,1,0,6,4,1,0,1
20160301,Tuesday,14,9,1,3,0,4,3,1,0,0
20160302,Wednesday,11,7,2,2,0,2,1,0,1,0
20160303,Thursday,9,5,2,2,0,2,2,0,0,0
