date,day_of_week,id,type,proj,proj_count,desc
20151117,Tuesday,1.0,W,NA,NA,
20151117,Tuesday,2.0,W,NA,NA,
20151117,Tuesday,3.0,W,NA,NA,
20151117,Tuesday,4.0,G,NA,NA,Listen to <u>Influence</u> by Robert Cialdini
20151117,Tuesday,5.0,H,NA,NA,Walk
20151117,Tuesday,6.0,G,NA,NA,Listen to <u>Influence</u> by Robert Cialdini
20151117,Tuesday,7.0,H,NA,NA,Walk
20151117,Tuesday,8.0,G,NA,NA,Personal organization
20151117,Tuesday,9.0,G,NA,NA,Personal organization
20151117,Tuesday,10.0,G,NA,NA,Personal organization
20151118,Wednesday,1.0,W,Mixed,NA,Feedback for Mimi; start rechecking territory
20151118,Wednesday,2.0,W,CAHOFiling2015,NA,Recheck territory
20151118,Wednesday,3.0,W,CAHOFiling2015,NA,Recheck territory
20151118,Wednesday,4.0,W,CAHOFiling2015,NA,Recheck territory; check large impacts
20151118,Wednesday,5.0,W,CAHOFiling2015,NA,Update indicated WF Zone Rels
20151118,Wednesday,6.0,G,NA,NA,Listening to Influence by Robert Cialdini
20151118,Wednesday,7.0,G,NA,NA,Listening to Influence by Robert Cialdini; Blog post
20151118,Wednesday,8.0,H,NA,NA,Walk
20151118,Wednesday,9.0,G,NA,NA,Blog post
20151118,Wednesday,10.0,G,NA,NA,Blog post
20151119,Thursday,1.0,W,Mixed,NA,Getting organized
20151119,Thursday,2.0,G,NA,NA,Listening to Influence by Robert Cialdini
20151119,Thursday,3.0,H,NA,NA,Run
20151119,Thursday,4.0,G,NA,NA,Reading East of Eden
20151119,Thursday,5.0,W,Mixed,NA,QVC job aids
20151119,Thursday,6.0,G,NA,NA,Listening to The Tim Ferriss Show podcast
20151119,Thursday,7.0,H,NA,NA,Walk
20151119,Thursday,8.0,W,Nepoer,NA,Help Brett with cat ratios and expense ratios
20151119,Thursday,9.0,W,Nepoer,NA,Help Brett with cat ratios and expense ratios
20151119,Thursday,10.0,W,Nepoer,NA,Help Brett with cat ratios and expense ratios
20151120,Friday,1.0,W,Mixed,NA,Weekly Review
20151120,Friday,2.0,W,Mixed,NA,Weekly Review
20151120,Friday,3.0,G,NA,NA,Career Development
20151120,Friday,4.0,W,Mixed,NA,Helping Jeff with R #R
20151120,Friday,5.0,G,NA,NA,Listening to The Tim Ferriss Show podcast
20151120,Friday,6.0,H,NA,NA,Walk
20151120,Friday,7.0,W,2015YEFeedback,NA,Feedback for Adam
20151120,Friday,8.0,W,2015YEFeedback,NA,Feedback for Adam
20151120,Friday,9.0,W,2015YEFeedback,NA,Feedback for Adam and Lauren
20151120,Friday,10.0,W,2015YEFeedback,NA,Feedback for Lauren
20151120,Friday,11.0,W,2015YEFeedback,NA,Feedback for Lauren
20151121,Saturday,1.0,G,NA,NA,Kaggle Titanic
20151121,Saturday,2.0,G,NA,NA,Kaggle Titanic
20151121,Saturday,3.0,G,NA,NA,Kaggle Titanic
20151121,Saturday,4.0,G,NA,NA,Photography: The Art of Black and White Photography course
20151121,Saturday,5.0,G,NA,NA,Photography: The Art of Black and White Photography course
20151121,Saturday,6.0,G,NA,NA,Photography: The Art of Black and White Photography course
20151122,Sunday,1.0,M,NA,NA,Misc. to-dos
20151122,Sunday,2.0,M,NA,NA,Misc. to-dos
20151122,Sunday,3.0,H,NA,NA,Walk
20151122,Sunday,4.0,G,NA,NA,Photography
20151122,Sunday,5.0,H,NA,NA,Walk
20151122,Sunday,6.0,G,NA,NA,Photography
20151123,Monday,1.0,W,Mixed,NA,Getting set up for the week; Helping Matthew
20151123,Monday,2.0,W,Mixed,NA,Getting set up for the week; Helping Matthew
20151123,Monday,3.0,G,NA,NA,Listening to The Tim Ferriss Show podcast
20151123,Monday,4.0,H,NA,NA,Walk
20151123,Monday,5.0,W,CAAutoSequential2016,1.0,Sequential Analysis
20151123,Monday,6.0,W,CAAutoSequential2016,2.0,Sequential Analysis
20151123,Monday,7.0,W,CAAutoSequential2016,3.0,Sequential Analysis
20151123,Monday,8.0,G,NA,NA,Listening to The Tim Ferriss Show podcast
20151123,Monday,9.0,H,NA,NA,Walk
20151123,Monday,10.0,W,CAHOFiling2015,NA,Updating documentation
20151123,Monday,11.0,W,CAHOFiling2015,NA,Updating documentation
20151123,Monday,12.0,W,Nepoer,NA,Nepoer requests
20151123,Monday,13.0,W,Nepoer,NA,Nepoer requests
20151123,Monday,14.0,H,NA,NA,Walk
20151123,Monday,15.0,G,NA,NA,Listening to The Tim Ferriss Show podcast
20151124,Tuesday,1.0,W,Mixed,NA,Getting organized; Sequential Analysis
20151124,Tuesday,2.0,W,CAAutoSequential2016,4.0,Sequential Analysis
20151124,Tuesday,3.0,G,NA,NA,Reading All Involved by Ryan Gattis
20151124,Tuesday,4.0,H,NA,NA,Walk
20151124,Tuesday,5.0,W,2015YEFeedback,NA,Feedback for Ryan
20151124,Tuesday,6.0,W,2015YEFeedback,NA,Feedback for Ryan; Feedback for Elizabeth
